id,name,stat,position,price
32,Alessandro Del Piero,92,CF,460
33,Alessandro Nesta,92,CB,460
34,Andrea Pirlo,92,CM,460
35,Bobby Moore,92,CB,460
36,Carles Puyol Saforcada,92,CB,460
37,David Beckham,92,RM,460
38,Dennis Bergkamp,92,CF,460
39,Emilio Butragueño,92,ST,460
40,Fabio Cannavaro,92,CB,460
41,Ferenc Puskás,92,ST,460
42,Gary Lineker,92,ST,460
43,Hristo Stoichkov,92,ST,460
44,Hugo Sánchez,92,ST,460
45,Javier Zanetti,92,RB,460
46,Kenny Dalglish,92,ST,460
47,Luís Figo,92,RW,460
48,Garrincha,92,RW,460
49,Paolo Maldini,92,CB,460
50,Peter Schmeichel,92,GK,460
51,Raúl González Blanco,92,CF,460
52,Rivaldo,92,LW,460
53,Ruud van Nistelrooy,92,ST,460
54,Samuel Eto'o,92,ST,460
55,Müller,92,ST,460
183,Jairzinho,92,RW,460
57,Kevin De Bruyne,92,CM,460
58,Sadio Mané,92,LM,460
59,Lionel Messi,92,CAM,460
60,Kylian Mbappé,92,ST,460
61,Mohamed Salah,92,ST,460
62,Robert Lewandowski,92,ST,460
63,Mohamed Salah,92,RW,460
64,Bernardo Silva,92,CAM,460
65,Marcos Cafú,92,RB,460
66,Eusébio,92,CF,460
67,Johan Cruyff,92,CF,460
68,Sadio Mané,92,LM,460
69,Roberto Baggio,92,CAM,460
70,Virgil van Dijk,92,CB,460
71,Lothar Matthäus,92,CDM,460
72,Alan Shearer,91,ST,455
73,Andriy Shevchenko,91,ST,455
74,Bastian Schweinsteiger,91,CM,455
75,Clarence Seedorf,91,CAM,455
76,David Trezeguet,91,ST,455
77,Didier Drogba,91,ST,455
78,Pelé,91,CF,455
79,Edwin van der Sar,91,GK,455
80,Eusébio,91,CF,455
81,Fernando Hierro Ruiz,91,CB,455
82,Fernando Torres,91,ST,455
83,Franco Baresi,91,CB,455
84,Gheorghe Hagi,91,CAM,455
85,Ian Rush,91,ST,455
86,Johan Cruyff,91,CF,455
87,Riquelme,91,CAM,455
88,Kaká,91,CAM,455
89,Laurent Blanc,91,CB,455
90,Lev Yashin,91,GK,455
91,Lothar Matthäus,91,CDM,455
92,Marcel Desailly,91,CB,455
93,Marco van Basten,91,ST,455
94,Michael Ballack,91,CM,455
95,Michael Laudrup,91,CAM,455
96,Michael Owen,91,ST,455
97,Miroslav Klose,91,ST,455
98,Patrick Kluivert,91,ST,455
99,Patrick Vieira,91,CM,455
100,Paul Scholes,91,CM,455
101,Pavel Nedvěd,91,LM,455
102,Petr Cech,91,GK,455
103,Philipp Lahm,91,RB,455
104,Robert Pirès,91,LM,455
105,Roberto Baggio,91,CAM,455
106,Roberto Carlos,91,LB,455
107,Ronald Koeman,91,CB,455
108,Ronaldinho,91,CAM,455
109,Sócrates,91,CAM,455
110,Steven Gerrard,91,CM,455
111,Zinedine Zidane,91,CM,455
112,Robin van Persie,91,ST,455
113,Wayne Rooney,91,ST,455
114,Diego Forlán,91,ST,455
115,Rudolf Völler,91,ST,455
116,Karim Benzema,91,CF,455
117,Robert Lewandowski,91,ST,455
118,Kylian Mbappé,91,ST,455
119,Kevin De Bruyne,91,CM,455
